coin,category,tier,mean_price,median_price,vol_daily,roi_1y_med,roi_3y_med,roi_5y_med,n_days
SHIB,Meme & Community,Major,1.339249126736035e-05,1.12e-05,0.8286076841702066,0.34285714285714297,0.9377652050919376,14299.411522633747,1826
SKI,Meme & Community,Speculative,0.05587990885654886,0.038438694,0.20599571328418387,7.44888800731357,,,481
SOL,Blue Chip L1s,Blue Chip,79.69094136046591,42.2957804,0.0656169689760945,1.570125704911804,3.5425271131903373,206.10925083831467,1951
STRK,Layer 2s,Major,0.6040833134920748,0.3997284339109832,0.056873376755069156,-0.8749708642348399,,,550
STX,Layer 2s,Major,0.9582965479848778,0.7065675753270146,0.07170123944987354,0.8984956286362127,0.9751899863381592,6.1118875617477135,2128
SUI,Next-Gen L1s,Speculative,1.8114937015095922,1.2942816929999998,0.05703793181159421,1.876655758245123,,,834
TIA,Next-Gen L1s,Speculative,6.971176905235474,5.403675872,0.06816204292569303,-0.7265099504170796,,,654
TRX,Emerging L1s,Speculative,0.07976558235155148,0.063340387,0.06827960583327615,0.4004373668136627,2.2906020677631846,4.368833862117522,2836
TUSD,Stablecoins,Major,1.0003032104706753,0.9999338927430164,0.004279458335006971,-0.0004952633475345247,-0.0010806330403288489,-0.0015367874014475258,2711
UNI,DeFi Protocols,Major,10.619627606515897,7.091711653,0.06552904653394291,-0.1416466695651472,-0.33453488953629984,,1793
USDC,Stablecoins,Major,1.0008415699659452,1.0000827826648138,0.0029026577010142626,-0.00022381903869950204,-0.00047888157257669484,-0.0006176308320325896,2514
USDT,Stablecoins,Major,1.0006338785566993,1.0,0.016688730233942527,0.0,-0.00010138519215457942,0.00028336709358012246,3809
WIF,Meme & Community,Major,1.5925485233387888,1.529943952,0.3579503706326256,-0.5797568260076484,,,611
XAUT,Payments & RWA,Major,2083.648811558495,1909.2655263273418,0.008823761846908978,0.09715234260839578,0.29704284718613705,0.8601227063857533,2036
XLM,Payments & RWA,Major,0.13217033562422284,0.096141238,0.10222185359440078,0.09786107498330743,0.9455531189466414,6.208834925834395,4021
XRP,Payments & RWA,Major,0.4683897529986326,0.3148704355,0.0707246192906299,0.13876933685602344,1.4252542790038425,13.978883802887188,4388
ZK,Layer 2s,Major,0.11335844558692167,0.10961688760188645,0.0582213670668751,-0.6552279256630036,,,432
