"coin","category","tier","roi_1y_med","roi_3y_med","roi_5y_med","vol_daily","n_days","max_drawdown","recovery_days"
"SEI","Infrastructure","Speculative","-0.16689546442455105",NULL,NULL,"0.06397288982036586",731,"-0.8648348214732018",NULL
"SHIB","Meme & Community","Major","0.34285714285714297","0.9377652050919376","14299.411522633747","0.8286076841702066",1826,"-0.941358024691358","51.0"
"SKI","Meme & Community","Speculative","7.44888800731357",NULL,NULL,"0.20599571328418387",481,"-0.9866438954730502","57.0"
"SOL","Blue Chip L1s","Blue Chip","1.570125704911804","3.5425271131903373","206.10925083831467","0.0656169689760945",1951,"-0.9629771193758434","751.0"
"STRK","Layer 2s","Major","-0.8749708642348399",NULL,NULL,"0.056873376755069156",550,"-0.9611399140639275",NULL
"STX","Layer 2s","Major","0.8984956286362127","0.9751899863381592","6.1118875617477135","0.07170123944987354",2128,"-0.9306211369352775","426.0"
"SUI","Next-Gen L1s","Speculative","1.876655758245123",NULL,NULL,"0.05703793181159421",834,"-0.7432098398294702","68.0"
"TIA","Next-Gen L1s","Speculative","-0.7265099504170796",NULL,NULL,"0.06816204292569303",654,"-0.9331102165739753",NULL
"TRX","Emerging L1s","Speculative","0.4004373668136627","2.2906020677631846","4.368833862117522","0.06827960583327615",2836,"-0.9631632603360578","1727.0"
"TUSD","Stablecoins","Major","-0.0004952633475345247","-0.0010806330403288489","-0.0015367874014475258","0.004279458335006971",2711,"-0.12132660182906459",NULL
"UNI","DeFi Protocols","Major","-0.1416466695651472","-0.33453488953629984",NULL,"0.06552904653394291",1793,"-0.9159238707078541",NULL
"USDC","Stablecoins","Major","-0.00022381903869950204","-0.00047888157257669484","-0.0006176308320325896","0.0029026577010142626",2514,"-0.07464205765036852",NULL
"USDT","Stablecoins","Major","0.0","-0.00010138519215457942","0.00028336709358012246","0.016688730233942527",3809,"-0.5269047068156277","1238.0"
"WIF","Meme & Community","Major","-0.5797568260076484",NULL,NULL,"0.3579503706326256",611,"-0.9304580342972122",NULL
"XAUT","Payments & RWA","Major","0.09715234260839578","0.29704284718613705","0.8601227063857533","0.008823761846908978",2036,"-0.19036142524470784","161.0"
"XLM","Payments & RWA","Major","0.09786107498330743","0.9455531189466414","6.208834925834395","0.10222185359440078",4021,"-0.9628637036969355",NULL
"XRP","Payments & RWA","Major","0.13876933685602344","1.4252542790038425","13.978883802887188","0.0707246192906299",4388,"-0.9594433936059086","1953.0"
"ZK","Layer 2s","Major","-0.6552279256630036",NULL,NULL,"0.0582213670668751",432,"-0.8523643608909791",NULL
